순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
153,팬오션,028670,KOSPI,해운사,09_운송,5780,30898,10.25,6.53,0.54,886,11745,185,10.4,,,사이클 — 정점 EPS에 정상 배수 적용 불가
154,달바글로벌,483650,KOSPI,화장품,11_화장품의류완구,246000,30735,37.28,23.87,15.35,10305,22576,2833,15.8,162510,-33.9,
155,클래시스,214150,KOSDAQ,건강관리장비와용품,16_건강관리,46350,30237,23.01,17.53,5.46,2645,10101,906,25.1,66257,42.9,
156,GS건설,006360,KOSPI,건설,05_건설건축관련,34750,29740,31.8,19.68,0.62,1766,58018,567,12.6,22322,-35.8,
157,한올바이오파마,009420,KOSPI,제약,16_건강관리,56900,29725,,14862.46,17.87,4,3134,,25.1,,,선행PER이 업종 중앙 대비 593.3배 — 배수 접근 부적합
158,일진전기,103590,KOSPI,전기장비,06_기계,61800,29470,28.37,18.44,5.01,3352,15150,674,40.2,134851,118.2,
159,유진테크,084370,KOSDAQ,반도체와반도체장비,22_반도체,128400,29424,69.3,31.63,6.3,4060,24298,277,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
160,SK바이오사이언스,302440,KOSPI,제약,16_건강관리,37500,29421,,,1.64,-1008,22829,,25.1,,,2026E EPS 없음·적자
161,에스원,012750,KOSPI,상업서비스와공급품,08_상사자본재,76700,29145,16.32,17.21,1.48,4457,54043,3200,13.5,60214,-21.5,
162,CJ제일제당,097950,KOSPI,식품,15_필수소비재,188000,28302,,7.89,0.43,23833,462592,6277,9.5,225937,20.2,
163,테스,095610,KOSDAQ,반도체와반도체장비,22_반도체,146000,28266,50.6,28.35,6.61,5150,26695,971,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
164,DL이앤씨,375500,KOSPI,건설,05_건설건축관련,73000,28246,8.46,6.34,0.58,11520,136649,1069,12.6,145613,99.5,
165,DN오토모티브,007340,KOSPI,자동차부품,10_자동차,47900,28027,9.96,7.69,1.24,6232,45579,1200,10.6,66059,37.9,
166,롯데쇼핑,023530,KOSPI,백화점과일반상점,14_소매유통,98800,27949,54.21,8.12,0.18,12161,546844,4375,10.8,130852,32.4,
